CategoryName;ItemId
Managed Settings Accessibility Settings;settings_item_accessibilitysettings_textsize
Managed Settings Accessibility Settings;settings_item_accessibilitysettings_touchaccommodationsenabled
Managed Settings Accessibility Settings;settings_item_accessibilitysettings_voiceoverenabled
Managed Settings App Analytics;settings_item_appanalytics_enabled
Managed Settings App Analytics;settings_item_appanalytics
Managed Settings Data Roaming;settings_item_dataroaming_enabled
Managed Settings Data Roaming;settings_item_dataroaming
Managed Settings Diagnostic Submission;settings_item_diagnosticsubmission
Managed Settings Diagnostic Submission;settings_item_diagnosticsubmission_enabled
Managed Settings Personal Hotspot;settings_item_personalhotspot
Managed Settings Personal Hotspot;settings_item_personalhotspot_enabled
Managed Settings Software Update Settings;settings_item_softwareupdatesettings
Managed Settings Software Update Settings;settings_item_softwareupdatesettings_recommendationcadence
Managed Settings Time Zone;settings_item_timezone
Managed Settings Time Zone;settings_item_timezone_timezone
Managed Settings Voice Roaming;settings_item_voiceroaming
Managed Settings Voice Roaming;settings_item_voiceroaming_enabled
Networking > Cellular;com.apple.cellular_attachapn_password
Networking > Cellular;com.apple.cellular_attachapn_name
Networking > Cellular;com.apple.cellular_com.apple.cellular
Networking > Cellular;com.apple.cellular_apns_item_password
Networking > Cellular;com.apple.cellular_apns_item_name
Networking > Cellular;com.apple.cellular_attachapn
Networking > Cellular;com.apple.cellular_apns_item_proxyserver
Networking > Cellular;com.apple.cellular_apns_item_username
Networking > Cellular;com.apple.cellular_apns_item_allowedprotocolmask
Networking > Cellular;com.apple.cellular_apns_item_enablexlat464
Networking > Cellular;com.apple.cellular_apns
Networking > Cellular;com.apple.cellular_apns_item_proxyport
Networking > Cellular;com.apple.cellular_apns_item_allowedprotocolmaskinroaming
Networking > Cellular;com.apple.cellular_attachapn_allowedprotocolmask
Networking > Cellular;com.apple.cellular_attachapn_username
Networking > Cellular;com.apple.cellular_apns_item_allowedprotocolmaskindomesticroaming
Networking > Cellular;com.apple.cellular_attachapn_authenticationtype
Networking > Cellular;com.apple.cellular_apns_item_authenticationtype
Networking > Domains;com.apple.domains_webdomains
Networking > Domains;com.apple.domains_safaripasswordautofilldomains
Networking > Network Usage Rules;com.apple.networkusagerules_simrules
Networking > Network Usage Rules;com.apple.networkusagerules_applicationrules
Networking > Network Usage Rules;com.apple.networkusagerules_com.apple.networkusagerules
Networking > Network Usage Rules;com.apple.networkusagerules_applicationrules_item_allowcellulardata
